"Date";"Registrations";"Promocodes";"Discount10";"Discount20";"Discount30";"Discount40";"Discount50";"Discount60";"Orders"
"2018-10-29";"187";"173";"8";"3";"";"1";"1";"1";"2"
"2018-10-30";"301";"340";"11";"6";"2";"1";"";"";"3"
"2018-10-31";"343";"424";"14";"7";"";"3";"1";"3";"4"
"2018-11-01";"338";"468";"16";"5";"2";"5";"2";"3";"4"
"2018-11-02";"361";"577";"10";"8";"1";"4";"4";"7";"5"
"2018-11-03";"339";"540";"15";"9";"3";"6";"8";"3";"13"
"2018-11-04";"453";"740";"12";"10";"1";"11";"10";"4";"13"
"2018-11-05";"474";"881";"15";"10";"1";"7";"15";"9";"16"
"2018-11-06";"508";"1072";"23";"17";"8";"16";"19";"9";"30"
"2018-11-07";"487";"1014";"23";"12";"5";"11";"18";"12";"26"
"2018-11-08";"442";"991";"15";"11";"3";"13";"23";"17";"29"
"2018-11-09";"375";"884";"16";"18";"3";"10";"19";"19";"31"
"2018-11-10";"402";"874";"24";"11";"3";"9";"25";"15";"28"
"2018-11-11";"622";"1398";"24";"11";"4";"15";"25";"30";"26"
"2018-11-12";"548";"1376";"21";"8";"7";"16";"29";"21";"44"
"2018-11-13";"544";"1476";"26";"14";"4";"28";"31";"30";"53"
"2018-11-14";"479";"1385";"20";"10";"9";"22";"42";"28";"53"
"2018-11-15";"513";"1449";"23";"12";"3";"24";"34";"28";"56"
"2018-11-16";"454";"1238";"21";"9";"6";"21";"32";"26";"47"
"2018-11-17";"469";"1363";"9";"9";"4";"14";"30";"25";"37"
"2018-11-18";"628";"1922";"19";"16";"8";"27";"54";"41";"60"
"2018-11-19";"552";"1751";"13";"11";"10";"20";"44";"48";"57"
"2018-11-20";"451";"1609";"11";"12";"3";"31";"67";"38";"84"
"2018-11-21";"621";"1744";"16";"12";"7";"33";"63";"45";"85"
"2018-11-22";"642";"1984";"22";"10";"8";"30";"59";"49";"83"
"2018-11-23";"507";"1749";"18";"9";"9";"36";"60";"49";"91"
"2018-11-24";"539";"1729";"16";"13";"9";"28";"48";"41";"49"
"2018-11-25";"624";"2194";"19";"19";"5";"43";"79";"72";"100"
"2018-11-26";"578";"2393";"19";"12";"3";"41";"100";"61";"108"
"2018-11-27";"535";"2007";"14";"17";"8";"32";"59";"50";"73"
"2018-11-28";"511";"1822";"15";"13";"2";"28";"58";"55";"77"
"2018-11-29";"461";"1841";"24";"12";"4";"30";"63";"57";"85"
"2018-11-30";"511";"1876";"19";"9";"6";"33";"59";"60";"74"
"2018-12-01";"519";"2146";"24";"12";"9";"42";"73";"65";"79"
"2018-12-02";"713";"2535";"20";"20";"8";"40";"78";"82";"92"
"2018-12-03";"614";"2431";"22";"13";"15";"53";"93";"72";"123"
"2018-12-04";"559";"2206";"28";"15";"7";"44";"98";"60";"120"
"2018-12-05";"544";"2203";"30";"14";"9";"51";"73";"65";"95"
"2018-12-06";"524";"2093";"23";"11";"6";"46";"83";"57";"91"
"2018-12-07";"470";"2010";"17";"14";"6";"37";"80";"74";"117"
"2018-12-08";"503";"2072";"23";"12";"23";"34";"82";"75";"101"
"2018-12-09";"623";"2823";"24";"13";"12";"63";"131";"110";"118"
"2018-12-10";"551";"2605";"27";"12";"11";"66";"114";"86";"146"
"2018-12-11";"523";"2377";"27";"12";"16";"47";"91";"87";"114"
"2018-12-12";"504";"2314";"27";"13";"14";"46";"110";"79";"134"
